period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Industrials,0.01937012,0.02421272,0.00484260,0,0,0,0,3
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Materials,0.04124859,0.06350159,0.02225300,0,0,0,0,4
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Real Estate,0.01330255,0.01595230,0.00264975,0,0,0,0,2
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Technology,0.12152022,0.14020996,0.01868974,0,0,0,0,3
2022-09-30->2022-12-31,2022-09-30,2022-12-31,2023-02-14,2023-02-15,Utilities,0.07233856,0.09249508,0.02015652,0,0,0,0,2
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Communication Services,0.25211925,0.27361983,0.02150058,0,0,1,0,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Consumer Discretionary,0.33033808,0.33494868,0.00461060,1,2,1,0,5
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Consumer Staples,0.01894118,0.01778258,-0.00115860,0,0,0,0,1
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Financials,0.05739889,0.05019496,-0.00720393,0,0,1,1,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Health Care,0.00483096,0.00389185,-0.00093911,0,0,0,0,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Industrials,0.02421272,0.02293776,-0.00127496,1,0,0,1,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Materials,0.06350159,0.05590639,-0.00759520,1,1,1,0,4
