instrument_key,instrument_type,display_name,source_ref,requested_symbol,resolved_symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,timezone
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-04-30,1120.2700,1144.8000,511.0000,534.8800,26.5236,68887600,567.9717,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-05-30,534.2500,577.6600,511.0900,571.6500,28.3470,41456800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-06-30,569.7500,589.6000,547.4700,584.6700,28.9926,39445800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-07-31,587.6500,608.9100,572.1001,579.5500,28.7387,38583300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-08-29,578.5550,597.8100,567.4500,582.3600,28.8781,29046600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-09-30,582.9500,605.4000,577.0100,588.4100,29.1781,35413703,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-10-31,586.8000,592.4000,518.4100,567.8700,28.1595,55503010,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-11-28,563.5300,567.1500,539.1900,549.0800,27.2278,29775322,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2014-12-31,545.0900,548.7900,497.1900,530.6600,26.3144,54469614,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-01-30,532.6000,545.4100,490.9100,537.5500,26.6560,52843510,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-02-27,534.3200,569.4200,521.7200,562.6300,27.8997,40420326,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-03-31,567.0000,583.2000,550.3300,554.7000,27.5065,43207344,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-04-30,554.8300,584.7000,529.0000,548.7700,27.2124,43746541,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-05-29,550.5100,558.2400,532.2350,545.3200,27.0413,32421761,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-06-30,548.7300,565.6100,538.8506,540.0400,26.7795,35218182,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-07-31,543.6600,713.3300,539.7600,657.5000,32.6041,68543766,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-08-31,657.6600,704.0000,593.0900,647.8200,32.1241,55344735,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-09-30,633.6600,681.9900,617.8400,637.2000,31.5975,43458108,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-10-30,637.9400,752.5000,631.1150,737.3900,36.5657,50293840,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-11-30,737.8800,782.9000,731.4500,762.8500,37.8282,37574197,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2015-12-31,766.9400,798.6900,736.2600,778.0100,38.5800,43650531,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-01-29,762.2000,769.2000,687.7800,761.3500,37.7538,51999240,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-02-29,771.2600,810.3500,682.0100,717.2200,35.5655,67647477,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-03-31,721.3000,777.3100,704.0000,762.9000,37.8307,42564849,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-04-29,757.1600,790.9500,703.2000,707.8800,35.1024,46661769,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-05-31,711.9200,753.4800,704.0500,748.8500,37.1340,34108232,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-06-30,748.4700,751.3700,672.6600,703.5300,34.8866,41979195,0.0000,
